Temperatur in °C,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9
0,100,"100,39","100,78","101,17","101,56","101,95","102,34","102,73","103,12","103,51"
10,"103,9","104,29","104,68","105,07","105,46","105,85","106,24","106,63","107,02","107,4"
20,"107,79","108,18","108,57","108,96","109,35","109,73","110,12","110,51","110,9","111,29"
30,"111,67","112,06","112,45","112,83","113,22","113,61",114,"114,38","114,77","115,15"
40,"115,54","115,93","116,31","116,7","117,08","117,47","117,86","118,24","118,63","119,01"
50,"119,4","119,78","120,17","120,55","120,94","121,32","121,71","122,09","122,47","122,86"
60,"123,24","123,63","124,01","124,39","124,78","125,16","125,54","125,93","126,31","126,69"
70,"127,08","127,46","127,84","128,22","128,61","128,99","129,37","129,75","130,13","130,52"
80,"130,9","131,28","131,66","132,04","132,42","132,8","133,18","133,57","133,95","134,33"
90,"134,71","135,09","135,47","135,85","136,23","136,61","136,99","137,37","137,75","138,13"
100,"138,51","138,88","139,26","139,64","140,02","140,4","140,78","141,16","141,54","141,91"
110,"142,29","142,67","143,05","143,43","143,8","144,18","144,56","144,94","145,31","145,69"
120,"146,07","146,44","146,82","147,2","147,57","147,95","148,33","148,7","149,08","149,46"
130,"149,83","150,21","150,58","150,96","151,33","151,71","152,08","152,46","152,83","153,21"
140,"153,58","13,96","154,33","154,71","155,08","155,46","155,83","156,2","156,58","156,95"
150,"157,33","157,7","158,07","158,45","158,82","159,19","159,56","159,94","160,31","160,68"
160,"161,05","161,43","161,8","162,17","162,54","162,91","163,29","163,66","164,03","164,4"
170,"164,77","165,14","165,51","165,89","166,26","166,63",167,"167,37","167,74","168,11"
180,"168,48","168,85","169,22","169,59","169,96","170,33","170,7","171,07","171,43","171,8"
190,"172,17","172,54","172,91","173,28","173,65","174,02","174,38","174,75","175,12","175,49"
200,"175,86","176,22","176,59","176,96","177,33","177,69","178,06","178,43","178,79","179,16"
210,"179,53","179,89","180,26","180,63","180,99","181,36","181,72","182,09","182,46","182,82"
220,"183,19","183,55","183,92","184,28","184,65","185,01","185,38","185,74","186,11","186,47"
230,"186,84","187,2","187,56","187,93","188,29","188,66","189,02","189,38","189,75","190,11"
240,"190,47","190,84","191,2","191,56","191,92","192,29","192,65","193,01","193,37","193,74"
250,"194,1","194,46","194,82","195,18","195,55","195,91","196,27","196,63","196,99","197,35"
260,"197,71","198,07","198,43","198,79","199,15","199,51","199,87","200,23","200,59","200,95"
270,"201,31","201,67","202,03","202,39","202,75","203,11","203,47","203,83","204,19","204,55"
280,"204,9","205,26","205,62","205,98","206,34","206,7","207,05","207,41","207,77","208,13"
290,"208,48","208,84","209,2","209,56","209,91","210,27","210,63","210,98","211,34","211,7"
300,"212,05","212,41","212,76","213,12","213,48","213,83","214,19","214,54","214,9","215,25"
310,"215,61","215,96","216,32","216,67","217,03","217,38","217,74","218,09","218,44","218,8"
320,"219,15","219,51","219,86","220,21","220,57","220,92","221,27","221,63","221,98","222,33"
330,"222,68","223,04","223,39","223,74","224,09","224,45","224,8","225,15","225,5","225,85"
340,"226,21","226,56","226,91","227,26","227,61","227,96","228,31","228,66","229,02","229,37"
350,"229,72","230,07","230,42","230,77","231,12","231,47","231,82","232,17","232,52","232,87"
360,"233,21","233,56","233,91","234,26","234,61","234,96","235,31","235,66",236,"236,35"
370,"236,7","237,05","237,4","237,74","238,09","238,44","238,79","239,13","239,48","239,83"
380,"240,18","240,52","240,87","241,22","241,56","241,91","242,26","242,6","242,95","243,29"
390,"243,64","243,99","244,33","244,68","245,02","245,37","245,71","246,06","246,4","246,75"
400,"247,09","247,44","247,78","248,13","248,47","248,81","249,16","249,5","249,85","250,19"
410,"250,53","250,88","251,22","251,56","251,91","252,25","252,59","252,93","253,28","253,62"
420,"253,96","254,3","254,65","254,99","255,33","255,67","256,01","256,35","256,7","257,04"
430,"257,38","257,72","258,06","258,4","258,74","259,08","259,42","259,76","260,1","260,44"
440,"260,78","261,12","261,46","261,8","262,14","262,48","262,82","263,16","263,5","263,84"
450,"264,18","264,52","264,86","265,2","265,53","265,87","266,21","266,55","266,89","267,22"
460,"267,56","267,9","268,24","268,57","268,91","269,25","269,59","269,92","270,26","270,6"
470,"270,93","271,27","271,61","271,94","272,28","272,61","272,95","273,29","273,62","273,96"
480,"274,29","274,63","274,96","275,3","275,63","275,97","276,3","276,64","276,97","277,31"
490,"277,64","277,98","278,31","278,64","278,98","279,31","279,64","279,98","280,31","280,64"
500,"280,98","281,31","281,64","281,98","282,31","282,64","282,97","283,31","283,64","283,97"
510,"284,3","284,63","284,97","285,3","285,63","285,96","286,29","286,62","286,95","287,29"
520,"287,62","287,95","288,28","288,61","288,94","289,27","289,6","289,93","290,26","290,59"
530,"290,92","291,25","291,58","291,91","292,24","292,56","292,89","293,22","293,55","293,88"
540,"294,21","294,54","294,86","295,19","295,52","295,85","296,18","296,5","296,83","297,16"
550,"297,49","297,81","298,14","298,47","298,8","299,12","299,45","299,78","300,1","300,43"
560,"300,75","301,08","301,41","301,73","302,06","302,38","302,71","303,03","303,36","303,69"
570,"304,01","304,34","304,66","304,98","305,31","305,63","305,96","306,28","306,61","306,93"
580,"307,25","307,58","307,9","308,23","308,55","308,87","309,2","309,52","309,84","310,16"
