Temperatur in °C,,,,,,,,,,
,0,-1,-2,-3,-4,-5,-6,-7,-8,-9
-200,"18,52",,,,,,,,,
-190,"22,83","22,4","21,97","21,54","21,11","20,68","20,25","19,82","19,38","18,95"
-180,"27,1","26,67","26,24","25,82","25,39","24,97","24,54","24,11","23,68","23,25"
-170,"31,34","30,91","30,49","30,07","29,64","29,22","28,8","28,37","27,95","27,52"
-160,"35,54","35,12","34,7","34,28","33,86","33,44","33,02","32,6","32,18","31,76"
-150,"39,72","39,31","38,89","38,47","38,05","37,64","37,22","36,8","36,38","35,96"
-140,"43,88","43,46","43,05","42,63","42,22","41,8","41,39","40,97","40,56","40,14"
-130,48,"47,59","47,18","46,77","46,36","45,94","45,53","45,12","44,7","44,29"
-120,"52,11","51,7","51,29","50,88","50,47","50,06","49,65","49,24","48,83","48,42"
-110,"56,19","55,79","55,38","54,97","54,56","54,15","53,75","53,34","52,93","52,52"
-100,"60,26","59,85","59,44","59,04","58,63","58,23","57,82","57,41","57,01","56,6"
-90,"64,3","63,9","63,49","63,09","62,68","62,28","61,88","61,47","61,07","60,66"
-80,"68,33","67,92","67,52","67,12","66,72","66,31","65,91","65,51","65,11","64,7"
-70,"72,33","71,93","71,53","71,13","70,73","70,33","69,93","69,53","69,13","68,73"
-60,"76,33","75,93","75,53","75,13","74,73","74,33","73,93","73,53","73,13","72,73"
-50,"80,31","79,91","79,51","79,11","78,72","78,32","77,92","77,52","77,12","76,73"
-40,"84,27","83,87","83,48","83,08","82,69","82,29","81,89","81,5","81,1","80,7"
-30,"88,22","87,83","87,43","87,04","86,64","86,25","85,85","85,46","85,06","84,67"
-20,"92,16","91,77","91,37","90,98","90,59","90,19","89,8","89,4","89,01","88,62"
-10,"96,09","95,69","95,3","94,91","94,52","94,12","93,73","93,34","92,95","92,55"
0,100,"99,61","99,22","98,83","98,44","98,04","97,65","97,26","96,87","96,48"
